record_id,date_and_time,notificationtype,notification_title,email_body,timestamp
9732,2017-11-24T09:50:00.000,Local Mass Transit,Mass Transit Suspension - A Train (QN),"Notification issued 11/24/17 at 9:50 AM. Due to signal problems, A Train service is suspended between Howard Beach-JFK Airport and Far Rockaway-Mott Avenue in Queens. For alternate service, use the B22 Bus. For more information, please visit www.mta.info.",2017-11-24 09:50:00
9738,2017-11-23T21:34:00.000,Transportation,Traffic Delays - Bronx River Parkway (BX),"Notification issued 11/23/17 at 9:34 PM. Due to a motor vehicle collision, expect extensive traffic delays northbound on the Bronx River Parkway at Westchester Avenue, in The Bronx.. Consider alternate routes and allow for additional travel time.",2017-11-23 21:34:00
9737,2017-11-23T19:16:00.000,zINAC * Fire,Three Alarm Fire - 160-20 108th Ave (QN),"Notification issued 11/23/17 at 7:16 PM. Emergency personnel are on the scene of a Three Alarm fire located at 108th Avenue and Union Hall Street, in Queens. Expect smoke, traffic delays, and a presence of emergency personnel and vehicles in the area. The NYC Department of Health and Mental Hygiene advises avoiding smoke exposure from structural fires by closing windows while indoors and reducing outdoor activity where smoke is present. People with heart or breathing conditions such as asthma may be more sensitive and should seek immediate medical attention if they experience a worsening of their condition, shortness of breath, or chest pains.",2017-11-23 19:16:00
9736,2017-11-23T08:00:00.000,zINAC * Environmental,CSO Advisory (CW),"The following Combined Sewer Overflows are reported as of 11/23/17 at 6:02 AM  Rainfall at DEP rain gauges over the past 24 hours in inches:  Hunts Point 0.1 inches  Jamaica Bay 0.27 inches  North River 0.11 inches  Red Hook 0.13 inches  Tallman Island 0.15 inches    List of Advisories  Bergen Basin on advisory until 11/23/2017 9:00 AM  Current CSO advisories: 1    A CSO Waterbody Advisory has been issued. For more info on affected waterbodies, call 311 or go to http://on.nyc.gov/JJmJoK.",2017-11-23 08:00:00
9735,2017-11-22T19:28:00.000,Utility,Power Outage - Maspeth Section (QN),"Notification issued 11/22/17 at 7:27 PM. Con Edison is responding to a power outage in the Maspeth section of Queens, including ZIP codes 11377 and 11378. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.    If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.    To view this message in American Sign Language (ASL), ???????, ??????, ??, Français, Kreyòl Ayisyen, Italiano, ???, Polski, P??????, Español, ???? or ?????? : http://on.nyc.gov/22lyehC.",2017-11-22 19:28:00
9734,2017-11-22T18:51:00.000,Transportation,Traffic Delays - Henry Hudson Parkway at West 135th Street (MN/BX),"Notification issued 11/22/17 at 6:51 PM. Due to a motor vehicle collision, expect extensive traffic delays in the area of the Bronx-bound Henry Hudson Parkway at West 135th Street in Manhattan. Consider alternate routes and allow for additional travel time.",2017-11-22 18:51:00
9733,2017-11-22T18:01:00.000,Missing Person,Missing Vulnerable Adult - Neil Gray - M/W/82 (CW),"Alert issued 11/22/17 at 6:01 PM.    A Missing Vulnerable Adult Alert has been issued for Neil Gray, an 82-year-old white male from Yonkers, NY. He has Alzheimer's disease and may be in need of medical attention.    Description: 5'9' tall, 125lbs, with white hair and blue eyes. Wearing a gray plaid button shirt, gray pants, a gray jacket and white sneakers.    Last Seen: Near Central Park Avenue at approximately 12:30PM on 11/22.    Vehicle: Driving a gray 2016 Hyundai Sonata with New York registration HEJ-3334.    Photo: http://bit.ly/2zZSvmU.    If you see Neil Gray, please call the Yonkers City Police Department at (914) 377-7900 or call 9-1-1.",2017-11-22 18:01:00
9729,2017-11-22T15:00:00.000,Transportation,Macy's Thanksgiving Day Parade - 11/23 (CW),"Notification issued 11/22/17 at 3:00 PM. On Thursday, 11/23, there will be various road closures in Midtown Manhattan due to the Macy's Thanksgiving Day Parade. The parade will begin at 9:00 AM and proceed on the following route:  -Start: Central Park West and West 77th Street  -South down Central Park West to Columbus Circle  -South through the east side of Columbus Circle to West 59th Street  -East on West 59th Street to 6th Avenue  -South on 6th Avenue to West 34th Street  -End: West on West 34th Street to 7th Avenue     Additional road closures will be in place in the area of the parade route in midtown Manhattan until 2:00 PM.     For more details, please see visit: http://mcys.co/2zrTrRw.",2017-11-22 15:00:00
9709,2017-11-22T12:00:00.000,zINAC * Aerial (Fly-Over),Planned Flyover - Macy's Thanksgiving Day Parade - 11/23 (MN),,2017-11-22 12:00:00
9731,2017-11-22T10:30:00.000,Missing Person,Missing Vulnerable Adult - Natalie Nelson F/B/29 (CW),"Alert issued 11/22/17 at 10:30 AM.    A Missing Vulnerable Adult Alert has been issued for Natalie Nelson, a 29-year-old black female from Freeport, New York. She is developmentally disabled and may be in need of medical attention.    Description: 5'4' tall, 110lbs, with black hair and brown eyes. She was last seen wearing a white T-shirt, green pants, and black boots.    Last Seen: On East Dean Street in Freeport (Nassau County) at 9:00 PM on Tuesday, 11/21.    Photo: http://bit.ly/2B57fxz.    If you see Natalie Nelson, please call Nassau County Police Department Detective Bureau at (516) 573-7347 or call 9-1-1.",2017-11-22 10:30:00
9730,2017-11-21T15:00:00.000,Emergency Activity,Balloon Inflation Event - 11/22 (CW),"Notification issued 11/21/17 at 3:00 PM. Due to balloon inflation for the 2017 Macy's Thanksgiving Day Parade, there will be various road closures between West 86th Street and West 72nd Street from Columbus Avenue to Central Park West starting at 7:00 AM tomorrow, 11/22.    The balloon inflation event can be viewed by pedestrians from 1:00 PM until 8:00 PM. Pedestrians can enter the viewing near the intersection of Columbus Avenue and West 74th Street.",2017-11-21 15:00:00
9712,2017-11-21T12:00:00.000,zINAC * Aerial (Fly-Over),Planned Flyover - 11/22 - Midtown (MN),,2017-11-21 12:00:00
9728,2017-11-20T16:31:00.000,Transportation,Traffic Delays - FDR Drive at Catherin Street (MN),"Notification issued 11/20/17 at 4:31 PM. Due to a motor vehicle collision, expect extensive traffic delays in the area of the southbound FDR Drive at Catherine Street in Manhattan. Consider alternate routes and allow for additional travel time.",2017-11-20 16:31:00
9708,2017-11-20T15:00:00.000,Utility,Planned Natural Gas Work - 11/21 - 95th Avenue (QN),"Notification issued 11/20/17 at 3:00 PM. On Tuesday, 11/21, National Grid will be performing gas system construction work on 95th Avenue between 108th Street and 111th Street in Queens. This work will take place between 8:00 AM and 8:00 PM. During this period of time, elevated natural gas odor may be experienced throughout the localized area. Please report natural gas emergencies to 9-1-1 if they occur.",2017-11-20 15:00:00
9699,2017-11-20T12:00:00.000,zINAC * Aerial (Fly-Over),Planned Aircraft Flyover - 11/21 - Hudson River (MN/BK/BX/SI),"Notification issued 11/20/17 at 12:00 PM. Tomorrow, 11/21 at 11:00 AM, three U.S. Navy F/A-18 aircraft will fly over the Hudson River, north to the Tappan Zee Bridge and then reverse course, and depart in the vicinity of the Verrazano-Narrows Bridge. The flyover will occur at an elevation of approximately 2,500-3,000 feet.",2017-11-20 12:00:00
9726,2017-11-20T09:00:00.000,zINAC * Drills / Exercises,UPDATE: CERT Exercise - 11/20 (BK),"Notification issued 11/20/17 at 9:00 AM. UPDATE: As part of a Community Emergency Response Team (CERT) training class, a controlled fire and disaster drill will be conducted at 2335 Bergen Avenue in Brooklyn from 6:30  9:00 PM today, 11/20. Expect to see FDNY and NYPD personnel in action. To learn more about CERT, visit http://www.NYC.gov/CERT.",2017-11-20 09:00:00
9703,2017-11-20T07:00:00.000,Utility,Planned Natural Gas Work - East 83 Street & East 95 Street (BK),"Notification issued 11/20/17 at 7:00 AM. On Monday, 11/20, National Grid will be performing gas system construction work between East 83rd Street to East 95th Street in Brooklyn. This work will take place between 8:00 AM and 8:00 PM. During this period of time, elevated natural gas odor may be experienced throughout the localized area. Please report natural gas emergencies to 9-1-1 if they occur.",2017-11-20 07:00:00
9468,2017-11-19T15:00:00.000,zINAC * Drills / Exercises,CERT Exercise - 11/20 (BK),"Notification issued 11/19/17 at 3:00 PM. As part of a Community Emergency Response Team (CERT) training class, a controlled fire and disaster drill will be conducted at Kings Plaza in Brooklyn from 6:30  9:00 PM tomorrow, 11/20. Expect to see FDNY and NYPD personnel in action. To learn more about CERT, visit http://www.NYC.gov/CERT.",2017-11-19 15:00:00
9725,2017-11-19T12:58:00.000,Emergency Activity,Police Activity - Broadway at Prince Street (MN),"Notification issued 11/19/17 at 12:58 PM. Due to a sidewalk shed collapse, expect traffic delays, road closures and and a heavy presence of emergency personnel in the area of Broadway and Prince Street in Manhattan. Consider alternate routes and allow for additional travel time.",2017-11-19 12:58:00
9724,2017-11-19T12:18:00.000,Transportation,Road Reopened - Bayonne Bridge (SI),"Notification issued 11/19/17 at 12:18 PM. Following a prior closure, all lanes of Bayonne Bridge have reopened in both directions in Staten Island. Expect residual delays.",2017-11-19 12:18:00
9723,2017-11-19T10:40:00.000,Transportation,Road Closure - Bayonne Bridge (SI),"Notification issued 11/19/17 at 10:40 AM. Due to police activity, all lanes of the Bayonne Bridge are closed in both directions in Staten Island. Consider alternate routes and allow for additional travel time.",2017-11-19 10:40:00
9722,2017-11-19T08:11:00.000,zINAC * Environmental,CSO Advisory (CW),"The following Combined Sewer Overflows are reported as of 11/19/17 at 8:16 AM Rainfall at DEP rain gauges over the past 24 hours in inches:  Hunts Point 0.17 inches  Jamaica Bay 0.18 inches  North River 0.12 inches  Red Hook 0.2 inches  Tallman Island 0.18 inches    List of Advisories  Bergen Basin On advisory until 11/19/2017 5:00:00 PM Gowanus Canal On advisory until 11/19/2017 5:00:00 PM Newtown Creek On advisory until 11/20/2017 5:00:00 AM Thurston Basin On advisory until 11/19/2017 5:00:00 PM Current CSO advisories: 4    A CSO Waterbody Advisory has been issued. For more info on affected waterbodies, call 311 or go to http://on.nyc.gov/JJmJoK",2017-11-19 08:11:00
9721,2017-11-18T23:24:00.000,Transportation,Traffic Delays - FDR (MN),"Notification issued 11/18/17 at 11:24 PM. Due to a vehicular fire, expect extensive traffic delays in both directions on the FDR Drive at East 51 Street, in Manhattan. Consider alternate routes and allow for additional travel time.",2017-11-18 23:24:00
9720,2017-11-18T18:14:00.000,Mass Transit Restoration,Mass Transit Restoration - 6 train (BX/MN),"Notification issued 11/18/17 at 6:14 PM. Following a prior suspension, normal service has resumed on the 6 train in both directions. Expect residual delays.",2017-11-18 18:14:00
9719,2017-11-18T18:03:00.000,Local Mass Transit,Mass Transit Disruption - 6 Train (BX/MN),"Notification issued 11/18/17 at 6:03 PM. Due to switch problems, 6 train service is suspended between 125th Street and Pelham Bay Park in both directions. Consider alternate routes and allow for additional travel time. For more information, please visit www.mta.info.",2017-11-18 18:03:00
9718,2017-11-18T15:39:00.000,Weather,Wind Advisory - 11/19 (CW),"Notification issued 11/18/17 at X:XX XX. The National Weather Service has issued a Wind Advisory for New York City in effect from 6 PM today until 6:00 PM on 11/19. The advisory has been issued for sustained winds of 25 - 35 mph and gusts in excess of 45 - 50 mph. During periods of high winds, residents should use caution when walking or driving high profile vehicles. Winds at these speeds can cause flying debris, turn unsecured objects into projectiles, and cause power outages. To prepare, charge cell phone batteries, gather supplies, and turn refrigerators and freezers to a colder setting. Always stay clear of downed power lines. If you are affected by an outage, turn off all appliances and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you lose power and have a disability or access needs, or use Life Sustaining Equipment (LSE) and need immediate assistance, please dial 9-1-1.     For the latest weather information, visit www.weather.gov/nyc.",2017-11-18 15:39:00
9717,2017-11-18T15:26:00.000,Weather,Coastal Flood Statement - 11/19 Southern Queens,"Notification issued 11/18/17 at 4:44 PM. The National Weather Service has issued a Coastal Flood Statement for southern Queens on 11/19 from 7:00 AM - 12:00 PM. The affected area includes the South Shore Bays. Tidal departures of 1 - 2 feet above normal are expected.    During a Coastal Flood Advisory, minor flooding of the most vulnerable shore roads and/or properties is possible. Coastal residents should be alert for later statements and take action to protect property.    For more information, please visit www.weather.gov/nyc",2017-11-18 15:26:00
9691,2017-11-18T15:00:00.000,zINAC * Drills / Exercises,FDNY/Nassau County Full-Scale Exercise - 11/19 (QN),"Notification issued 11/18/17 at 3:00 PM. On Sunday, November 19th from 8:00 AM to 11:30 AM the FDNY will conduct a full-scale exercise in conjunction with the Nassau County Fire Commission and the Nassau County Office of the Fire Marshal. The exercise will begin in Nassau County, Long Island and continue into the Laurelton, Springfield Gardens, Glen Oaks, Fresh Meadows and Bayside neighborhoods in Queens. Expect possible traffic delays and the presence of emergency personnel and vehicles during the exercise.",2017-11-18 15:00:00
9716,2017-11-18T14:33:00.000,Mass Transit Restoration,Mass Transit Restoration - 6 train (BX),"Notification issued 11/18/17 at 2:33 PM. Following a prior suspension, normal service has resumed on the 6 line in both directions. Expect residual delays.",2017-11-18 14:33:00
9715,2017-11-18T14:17:00.000,Local Mass Transit,Mass Transit Disruption - 6 Train (BX),"Notification issued 11/18/17 at 2:12 PM. Due to a power issue, there will be no northbound 6 train service between Westchester Square-East Tremont Avenue and Pelham Bay Park. Consider alternate routes and allow for additional travel time. For more information, please visit www.mta.info.",2017-11-18 14:17:00
9711,2017-11-18T13:15:00.000,zINAC * Aerial (Fly-Over),Planned Flyover - 11/19 - Lower & Midtown (MN),,2017-11-18 13:15:00
9713,2017-11-18T11:10:00.000,Missing Person,Missing Child Alert - Londyn Richardson F/B/29day & Malani Ventura F/W/3mo (CW),"Missing Child Alert issued 11/18/17 at 11:10 AM.    A Missing Child Alert has been issued for two children, Londyn Richardson and Malani Ventura, who were last seen with their mothers and are believed to be endangered. The children are missing from Salamanca, New York.     Description of Londyn Richardson: 29-day-old black female, 1'6' tall & 10lbs, with black hair and brown eyes.  Description of Malani Ventura: 3-month-old white female, 20 tall & 20 lbs, with black hair and brown eyes.      Suspect Description of Keshauna Boggs: 18-year old black female, 52 tall & 150lbs, with black hair with orange dyed tips and brown eyes.  Suspect Description of Selena Ventura: 16-year old white female, 52 tall & 200lbs, with black hair and brown eyes.    Last Seen: The four individuals were last seen on East State Street in the city of Salamanca (Cattaraugus County) at 6:30 AM on Saturday, 11/18.    Vehicle: Blue 2007 Honda CRV with NY registration: HDL6588. They may be traveling to Suffolk County, NY.     Photos: ",2017-11-18 11:10:00
9710,2017-11-18T04:38:00.000,Missing Person,Silver Alert - Charles Lombardo M/W/79 ( MN),"Silver Alert issued 11/18/17 at 4:38 AM.    A Silver Alert has been issued for Charles Lombardo, a 79-year-old white male from West 15th Street and 9th Avenue in Manhattan. The missing has dementia and may be in need of medical attention.    Description: 5'9' tall, 160lbs, with white hair, brown eyes with a mustache. Mr. Lombardo was last seen wearing a dark blue waist length jacket, khaki pants, brown shoes and brown gloves.    Last Seen: In front of Lenox Hill Hospital in Manhattan at approximately 7:34 PM on 11/17.    Photo: https://i.imgur.com/KNiZ8f5.jpg    If you see Mr. Lombardo, please call 9-1-1.",2017-11-18 04:38:00
9714,2017-11-18T00:40:00.000,Missing Person,Missing Child Alert - Cancellation - Londyn Richardson F/B/29day & Malani Ventura F/W/3mo (CW),Notification issued 11/18/17 at 12:40 PM. The Missing Child Alert issued for Londyn Richardson and Malani Ventura has been cancelled. Thank you for your assistance.,2017-11-18 00:40:00
9707,2017-11-17T16:37:00.000,zINAC * Fire,Five Alarm Fire - West 144 Street and Broadway (MN),"Notification issued 11/17/17 at 4:37 PM. Emergency personnel are continuing to operate on the scene of what is now a five alarm fire located at Broadway and West 144 Street in Manhattan. Expect smoke, traffic delays, and a presence of emergency personnel and vehicles in the area. The NYC Department of Health and Mental Hygiene advises avoiding smoke exposure from structural fires by closing windows while indoors and reducing outdoor activity where smoke is present. People with heart or breathing conditions such as asthma may be more sensitive and should seek immediate medical attention if they experience a worsening of their condition, shortness of breath, or chest pains.",2017-11-17 16:37:00
9706,2017-11-17T15:37:00.000,zINAC * Fire,Three Alarm Fire - West 144 Street and Broadway (MN),"Notification issued 11/17/17 at 3:37 PM. Emergency personnel are on the scene of a three alarm fire located at Broadway and West 144 Street in Manhattan. Expect smoke, traffic delays, and a presence of emergency personnel and vehicles in the area. The NYC Department of Health and Mental Hygiene advises avoiding smoke exposure from structural fires by closing windows while indoors and reducing outdoor activity where smoke is present. People with heart or breathing conditions such as asthma may be more sensitive and should seek immediate medical attention if they experience a worsening of their condition, shortness of breath, or chest pains.",2017-11-17 15:37:00
9705,2017-11-17T15:00:00.000,zINAC * Drills / Exercises,FDNY/US Army HazMat Drill - Bowery Street Subway Station (MN),"Notification issued 11/17/17 at 3:00 PM. The U.S. Army in conjunction with FDNY HazMat will be participating in a drill at the Bowery Street Subway Station in Manhattan tomorrow, 11/18. There will be an increased presence of emergency personnel and vehicles in the immediate area between 6:00 AM and 1:00 PM. This is only a drill.",2017-11-17 15:00:00
9704,2017-11-17T13:00:00.000,zINAC * Aerial (Fly-Over),Planned Flyover - 11/17 (BK/MN/SI),"Notification issued 11/17/17 at 1:00 PM. A flight of two military helicopters (CH-53E Super Stallions) will fly near the Verrazano-Narrows Bridge, the Statue of Liberty, and the George Washington Bridge between 2:00 PM and 3:30 PM today, 11/17. The aircraft will fly between 500-1,000 feet.",2017-11-17 13:00:00
9702,2017-11-16T21:08:00.000,Utility,Power Outage - Cambria Section (QN),"Notification issued 11/16/17 at 9:07 PM. Con Edison is responding to a power outage in the Cambria Heights section of Jamaica, Queens, including ZIP codes 11411, 11412, 11413, 11422. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.    If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",2017-11-16 21:08:00
9701,2017-11-16T19:30:00.000,Transportation,Traffic Delays - FDR Drive at East 127th Street (MN),,2017-11-16 19:30:00
9700,2017-11-16T17:37:00.000,Transportation,Road Closure - Long Island Expressway at Brooklyn-Queens Expressway (BK),"Notification issued 11/16/17 at 5:46 PM. Following a prior closure, all lanes of the westbound Long Island Expressway have reopened at the Brooklyn-Queens Expressway in Queens. Expect residual delays.",2017-11-16 17:37:00
9686,2017-11-16T17:12:00.000,Transportation,Road Closure - Long Island Expressway at Brooklyn-Queens Expressway (BK),"Notification issued 11/16/17 at 5:11 PM. Due to a vehicle fire, all lanes of the Queens-bound Long Island Expressway are closed at the Brooklyn-Queens Expressway in Queens. Consider alternate routes and allow for additional travel time.",2017-11-16 17:12:00
9692,2017-11-16T15:00:00.000,zINAC * Aerial (Fly-Over),Planned Flyover - Lower Manhattan and Brooklyn - 11/17 (MN/BK),,2017-11-16 15:00:00
